ls_baru_num,ls_baru_title,english_title,composer,arranger,music_notation,sda_hymnal_num,sda_hymnal_title,sda_source,ls_lama_num,ls_lama_title,toba_edition_num,toba_edition_title
1,"Di Hadapan Hadirat-Mu","Before Behovah's Awful Throne","Isaac Watts","John Hatton","2#=D 4/4",82,"Before Jehovah's Awful Throne",site,1,"Di Hadapan Hadirat-hu",1,"Puji Jahowa Na Marasi Roha"
2,"Hai Segnap Ciptaan Tuhan","All Creatures Of Our God And King","Francis of assisi","Geistliche Kirchngesange","2#=D 3/2",2,"All Creatures of Our God and King",site,,"",,""
3,"Tuhan Allah Hadir","God Himself Is With Us","Gerhand Tersteegen","Joachim Neander","1#=G 2/2",3,"God Himself Is With Us",site,,"",,""
4,"Puji Tuhan","Praise To The Lord","Joachim Neander","Wm. S. Bennett","",1,"Praise to the Lord",site,,"",,""
5,"Kasih Surga Yang Terindah","Love Divine","Charles Wesley, 1707-1778","John Zundel, 1815-1882","",191,"Love Divine",site,31,"Kasih Surga Yang Terindah",31,"Ro Ma Jesus Lao Mangalap"
6,"Tuhan Raja Di Sion","The Lord In Zion Reigneth","Fanny J. Crosby","Hart P. Danks","2#=D 4/4",7,"The Lord in Zion Reigneth",site,,"",,""
7,"Kita Berhimpun","We Gather Together","Theodore Baker","Edward Kremer","",8,"We Gather Together",site,,"",,""
8,"Sembahlah Tuhan","O Worship The Lord","J. S. B Monsell","Edwin Barnes","2#=D 3/4",6,"O Worship the Lord",site,5,"Sembahlah Allah",5,"Holong Do Debata Ama"
9,"Hai Kristen Nyanyilah","Come Christian, Join To Sing","Christian Henry Bateman","David Evans","3#=A 4/4",10,"Come Christians Join To Sing",title-match,,"",,""
10,"Betapa Teguhnya","How Firm A Foundation, Ye Saints","Rippson Selection","Wade&#39;s Cantus Diversi","1#=G 4/4",509,"How Firm A Foundation",site,13,"Teguhlah Alasan",13,"O Tuhanku Sai Patibu"
11,"Dengan Riang Kami Puji","Joyful, Joyful, We Adore Thee","Henry Van Dyke","Ludwig Van Beethoven","1# = G 4/4",12,"Joyful, Joyful, We Adore Thee",site,,"",,""
12,"Nyanyikanlah Kidung Yang Baru","New Songs Of Celebration Render","Erik Routey","Russel Eschulz-Widmar","1#=G 4/4",13,"New Songs of Celebration Render",site,,"",,""
13,"Suci, Suci, Suci","Holy, Holy, Holy","Reginald Heber","John B. Bykes","2#=D 4/4",73,"Holy, Holy, Holy",site,21,"Suci, Suci, Suci",21,"Adong Do Sahalak Na Mangondihon Au"
14,"Jika Kiranya Lidahku","O Could I Speak The Matchless","Samuel Medley","Lowell Mason","2#=D 3/4",,"",,14,"Jika Kiranya Lidahku",14,"O Tuhan Jesus Raja Ni Sude Na"
15,"Aku Senang Mencritakan","We Speak Of The Realms","Elisabeth Mills","Early American Melody","",434,"We Speak of the Realms",site,16,"Sukalah Kita Critakan",16,"Mansohot Ma Sude Hasusaan."
