Letter,English Title,LS Number
','Tis Almost Time for the Lord,166
','Tis Love That Makes Us Happy,357
','Tis the Blessed Hour of Prayer,268
A,A Few More Years Shall Roll,140
A,A Mighty Fortress,434
A,A Song of Heaven and Homeland,403
A,A Wonderful Savior is Jesus,230
A,Abide With Me,45
A,Again the Day Return,349
A,Alas! And Did My Saviour Bleed?,274
A,All Creature of Our God and King,2
A,"All Glory, Laud and Honor",177
A,All Hail the Power of Jesus Name,38
A,All People That on Earth Do Dwell,21
A,All That Thrills My Soul,149
A,All the Way My Savior Leads Me,438
A,All Things are Thine,339
A,All Things Bright and Beautiful,83
A,All Things Come of Thee,418
A,Alleluya! Sing to Jesus!,135
A,Almighty Father,523
A,Almost Persuaded,225
A,Am I a Soldier of the Cross?,476
A,Amazing Grace,98
A,And Can It Be?,155
A,And Have the Bright Immensities,136
A,Angel Voices Sweetly Singing,309
A,Angels From the Realms of Glory,106
A,Angels We Have Heard on High,117
A,Another Six Day Work is Done,343
A,Anywhere With Jesus I Can Savely Go,435
A,As Birds Unto the Genial,346
A,As We Come to You in Prayer,520
A,Asleep in Jesus,138
A,At First I Prayed for Light,426
A,Awake My Soul! Stretch Every Nerve,22
A,Away in a Manger,108
B,Balm in Gilead,405
B,Be Still My Soul,394
B,Beautiful Valley of Eden,284
B,Because He Loves,446
B,Before Jehovah's Awful Throne,1
B,Beneath the Cross of Jesus,235
B,Beyond the Sunset,361
B,Bless be the Tie That Binds,293
B,"Blessed Assurance, Jesus is Mine",464
B,"Blessed Jesus, at Thy Word",380
B,"Blessed Jesus, Meek and Lowly",217
B,Blessed Lord How Much I Need,427
B,Break Thou the Bread of Life,204
B,"Breathe on Me, Breathe of God",198
B,"Bring Them In, Bring Them In",316
B,Bring Ye All the Tithes,266
B,Burden are Lifted at Calvary,406
C,Called to the Feast by the King,171
C,Can the World See Jesus in You,224
C,Can You Count the Stars,87
C,Chief of Sinner Thought I Be,231
C,Children of the Heavenly Father,90
C,Christ for the World We Sing,332
C,Christ is Alive,152
C,Christ is Coming,158
C,Christ the Lord is Risen Today,132
C,"Come Christians, Join to Sing",9
C,Come Every Soul by Sin Oppressed,206
C,"Come Ye Sinner, Poor and Needy",310
C,"Come, Let Us Sing",190
C,"Come, Thou Font of Every Blessing",275
C,"Come, We That Love the Lord",282
C,"Come, You Faithful",139
C,Count Your Many Blessings,292
D,Dare to Do Right,289
D,Day by Day,449
D,Day is Dying in the West,46
D,"Day of Judgment, Day of Wonders!",352
D,Dearer Than All,62
D,"Dismiss Us, Lord, With Blessing",522
D,Does Jesus Care,144
D,Don't Forget the Sabbath,347
D,Draw Me Nearer,237
D,Dying with Jesus by Death,129
E,"Eternal Father, Strong to Save",76
E,Every Body Ought to Know Jesus,506
F,Face to Face,162
F,"Fade, Fade Each Earthly Joy",218
F,Fairest Lord Jesus,179
F,Faith is the Victory,445
F,Faith of Our Father,236
F,Far and Near the Fields are Teeming,321
F,"Father, Lead Me Day by Day",354
F,"Father, We Come to Thee",68
F,Fill My Cup,417
F,For God So Love Us,74
F,For God so Loved the World,502
F,For the Beauty of the Earth,465
F,For You I am Praying,210
F,"Friends, Companions, Guides",295
F,From Greenlands Icy Mountains,322
F,"Fruitful Trees, the Spirit's Sowing",330
G,Give Me the Bible,200
G,Give of Your Best to the Master,469
G,"Gladly, Gladly Toiling For the Master",319
G,Gleams of the Golden Morning,95
G,Glory Be to the Father,57
G,"Go Forth, Go Forth with Jesus",337
G,Go Tell It on the Mountain,107
G,God Be My Head,521
G,God Be with You,54
