ls_number,ls_title,sda_hymnal_num,sda_hymnal_title,sda_source
1,"Di Hadapan Hadirat-Mu",82,"Before Jehovah's Awful Throne",site
2,"Hai Segnap Ciptaan Tuhan",2,"All Creatures of Our God and King",site
3,"Tuhan Allah Hadir",3,"God Himself Is With Us",site
4,"Puji Tuhan",1,"Praise to the Lord",site
5,"Kasih Surga Yang Terindah",191,"Love Divine",site
6,"Tuhan Raja Di Sion",7,"The Lord in Zion Reigneth",site
7,"Kita Berhimpun",8,"We Gather Together",site
8,"Sembahlah Tuhan",6,"O Worship the Lord",site
9,"Hai Kristen Nyanyilah",10,"Come Christians Join To Sing",title-match
10,"Betapa Teguhnya",509,"How Firm A Foundation",site
11,"Dengan Riang Kami Puji",12,"Joyful, Joyful, We Adore Thee",site
12,"Nyanyikanlah Kidung Yang Baru",13,"New Songs of Celebration Render",site
13,"Suci, Suci, Suci",73,"Holy, Holy, Holy",site
15,"Aku Senang Mencritakan",434,"We Speak of the Realms",site
16,"Tuhan Bertakhta Di Surga",17,"Lord of All Being, Throned Afar",site
18,"Pujilah Allah",20,"O Praise Ye the Lord",site
19,"Hati Yesus Penuh",577,"In the Heart of Jesus",site
20,"Kidung Yang Baru",19,"O Sing a New Song to the Lord",site
21,"Pada-Mu Allah Ku Puji",16,"All People That on Earth Do Dwell",site
22,"Hai Jiwaku Bangun Segra",611,"Awake, My Soul",site
23,"Allah Yang Abadi",21,"Immortal, Invisible, God Only Wise",site
24,"Dengar Lonceng Berdentang",23,"Now the Joyful Bells A-Ringing",site
25,"Puji Tuhan Yang Mulia",25,"Praise the Lord, His Glories Show",site
26,"Puji Tuhan Hai Manusia",26,"Praise the Lord! You Heavens Adore Him",site
27,"Mari Umat Allah",27,"Rejoice, Ye Pure in Heart!",site
28,"Kami Mau Lihat Yesus Juruselamat",494,"We Would See Jesus",title-match
29,"Puji Allah Yang Bertakhta",29,"Sing Praise to God",site
30,"Kuduslah Nama Tuhan",30,"Holy God, We Praise Your Name",site
31,"Critakan Keagungan Tuhanmu",31,"Tell Out My Soul",site
33,"Nyanyikan Dengan Gembira",34,"Wake the Song",site
34,"Semua Makhluk Puji Tuhan",560,"Let All Things Now Living",title-match
35,"Yesus Bagaikan Gembala",545,"Savior, Like a Shepherd",site
36,"Menyanyilah Hai Jiwaku",37,"O Sing, My Soul, Your Maker's Praise",site
37,"Waktu Pagi Ya Tuhanku",39,"Lord, in the Morning",site
38,"Mari Puji Nama Yesus",229,"All Hail the Power of Jesus' Name",site
39,"Puji Syukur Bagi-Nya",112,"Let Us With a Gladsome Mind",site
41,"Sambutlah Sabat Tuhan",40,"The  Dawn of God's Dear Sabbath",site
