confidence,method,ls_number,ls_title,ls_english_title,sda_num,sda_title
0.99,lyric-line-exact,206,Marilah Orang Berdosa,Come Every Soul By Sin Oppressed,279,Only Trust Him
0.99,lyric-line-exact,208,Suaramu Ku Dengar,I Am Coming Lord,282,I Hear Thy Welcome Voice
0.99,lyric-line-exact,316,Bawalah Yang Hilang,"Bring Them In, Bring Them In",361,Hark Tis The Shepherds Voice I Hear
0.99,lyric-line-exact,402,Ingat Slalu Nama Yesus,"Precious Name, O How Sweet",474,Take The Name Of Jesus With You
0.969,lyric-line-substr,507,Ku Tau Nama Yesus Terindah,Jesus Is The Sweetest Name I Know,253,Theres No Other Name Like Jesus
0.836,title-fuzzy,320,Rahmat Bapa Bercahaya,Let The Lower Lamps Be Burning,595,Let Every Lamp Be Burning
0.8,title-fuzzy,296,Nama Yesus Amat Indah,Jesus Oh How Sweet The Name,238,How Sweet The Name
0.783,title-fuzzy,298,Slamat Di Lengan Yesus,Save In The Arms Of Jesus,577,In The Heart Of Jesus
0.762,title-fuzzy,299,Ku Lihat Yesus,I See Jesus,492,Like Jesus
0.757,title-fuzzy,356,"Tuhan, Kasihanilah Kami Ini","Lord, Be Merciful",297,God Be Merciful To Me
0.756,title-fuzzy,502,Karena Allah Kasih,For God So Loved The World,78,For God So Loved Us
0.744,title-fuzzy,335,Dalam Kerja Rajaku,In The Service The King,426,I Shall See The King
0.743,title-fuzzy,498,Pemuda Skalian,We Have Heard Thy Call,453,We Have Heard
0.735,title-fuzzy,290,Duduk Dekat Kaki Yesus,Sitting At The Feet Of Jesus,577,In The Heart Of Jesus
0.731,title-fuzzy,192,Ya Roh Suci Yang Benar,"Holy Spirit, Faithful Guide",589,Holy Spirit Gracious Guest
0.727,title-fuzzy,359,Aku Perlu Yesus,I Need Jesus,492,Like Jesus
0.704,title-fuzzy,217,"Ya Yesus, Yang Penuh Kasih","Blessed Jesus, Meek And Lowly",540,Gentle Jesus Meek And Mild
0.704,title-fuzzy,315,Orang Asing Di Pintu,There's A Stranger At The Door,120,Theres A Song In The Air
0.696,title-fuzzy,512,Apa Yang Dunia Perlu,What The World Need Is Jesus,494,We Would See Jesus
0.688,title-fuzzy,61,"Ya, Tuhanku ,Tuntun Aku berjalan",Lead Thou Me On,547,Be Thou My Vision
0.688,title-fuzzy,279,Kristus Tlah Slamatkan,"Jesus Save, Jesus Save",340,Jesus Saves
0.684,title-fuzzy,128,Aku Mau Hidup Bagi Yesusku,Living For Jesus,167,Alleluia Sing To Jesus
0.683,title-fuzzy,362,Aku Pikirkan Skarang,I Am Thinking To Day,288,I Am Going To Calvary
0.677,title-fuzzy,369,Di Kota Allah Yang Indah,In the Christian's Home in Glory,237,In The Cross Of Christ I Glory
0.667,title-fuzzy,43,Slamat Malam,Good Night,275,O God Of Light
0.667,title-fuzzy,64,Tiada Lain Pelindung Seperti Yesus,I Would Like To Tell You,311,I Would Be Like Jesus
0.667,title-fuzzy,66,Itu Nyata Di Hatiku,It's In My Heart,678,God Be In My Head
0.667,title-fuzzy,68,"Bapa, Kami Datang","Father, We Come To Thee",458,More Love To Thee
0.667,title-fuzzy,223,"Yesus Panggil, Aku Ikut","Jesus Calls Me, I Must Follow",285,Jesus Calls Us
0.667,title-fuzzy,224,Apa Kita Hidup Dekat Yesus?,Can The World See Jesus In You,494,We Would See Jesus
0.667,title-fuzzy,267,Tarik Jiwa Satu,Take Me As I Am,313,Just As I Am
0.667,title-fuzzy,398,Kalau Kau Mau Senang,If You Want Joy,400,I Come With Joy
0.649,title-fuzzy,138,Tidur Tenang Dalam Yesus,Asleep In Jesus,167,Alleluia Sing To Jesus
0.649,title-fuzzy,366,"Lebih Dekat, Lebih Indah",Home Heavenly Home,452,What Heavenly Music
0.645,title-fuzzy,374,Aku Mau Pulang,I'm On My Way Home,437,Im Going Home
0.645,title-fuzzy,452,Yesus Tak Pernah Gagal,Jesus Never Falls,285,Jesus Calls Us
0.642,title-fuzzy,73,Kasih Allah,The Love Of God Is Greater Far,77,O Love Of God Most Full
0.642,title-fuzzy,292,Bila Laut Kehidupanmu Berglombang,Count Your Many Blessings,454,Dont You See My Jesus Coming
0.64,title-fuzzy,375,Sudah Dekatlah Rumah Di Surga,Nearing Home,437,Im Going Home
0.638,title-fuzzy,67,Lama Tlah Dirindu,Is Your All On The Altar,98,Can You Count The Stars
0.638,title-fuzzy,273,Dengar Lonceng Surga,Ring The Bells Of Heaven,369,Bringing In The Sheaves
0.636,title-fuzzy,167,Hari Yang Mulia Akan Tiba,There's A New Day Dawning,336,There Is A Fountain
0.636,title-fuzzy,400,Bukalah Hatimu,You Must Open The Door,583,You That Know The Lord
0.636,title-fuzzy,505,Kita Maju Bersama,We'll March Along Together,8,We Gather Together
0.635,title-fuzzy,216,Yesus Panggil Engkau Pulang,Jesus Is Tenderly Calling Thee Home,185,Jesus Is All The World To Me
0.634,title-fuzzy,253,Aku Tak Akan Tinggalkan,I Will Never Leave Thee,623,I Will Follow Thee
0.632,title-fuzzy,100,Marilah Bersukacita,Let Our Hearts Be Always Cheerful,575,Let Your Heart Be Broken
0.632,title-fuzzy,272,Bahagia Hari Itu,Happy Day,532,Day By Day
0.632,title-fuzzy,284,"Eden, Taman Yang Terindah",Beautiful Valley Of Eden,450,Beautiful Zion
0.63,title-fuzzy,311,Aku Mengasihi Tuhan,"I Know I Love Thee Better, Lord",390,We Love Thy Sabbath Lord
0.629,title-fuzzy,364,Bukit–bukit Yang Permai,O The Beautiful Hills,102,Unto The Hills
0.625,title-fuzzy,171,Kita Dijamu Oleh Raja,Called To The Feast By The King,231,Blest Be The King
0.625,title-fuzzy,343,Enam Hari Sudah Lalu,Another Six Days Work Is Done,52,Now The Day Is Over
