confidence_bucket,ls_number,ls_title,ls_english_title,sda_num,sda_title,score
exact,28,Kami Mau Lihat Yesus Juruselamat,We Would See Jesus,494,We Would See Jesus,1.0
exact,44,"Allah Khalik Langit, Bumi","God, Who Made The Earth And Heaven",47,God Who Made The Earth And Heaven,1.0
exact,58,Majulah Berjalan,On Our Way Rejoicing,68,On Our Way Rejoicing,1.0
exact,71,Ajaiblah Terbenamnya Mentari,The Wonder Of It All,75,The Wonder Of It All,1.0
exact,77,Ya Tuhanku Sungguh Ku Terpesona,How Great Thou Art,86,How Great Thou Art,1.0
exact,99,Bapaku Maha Kuasa,It Took A Miracle,111,It Took A Miracle,1.0
exact,107,Pergilah Dan Kabarkan,"Go, Tell It On The Mountain",121,Go Tell It On The Mountain,1.0
exact,112,Tlah Lahir Yesus Yang Kudus,Now Is Born The Divine Christ Child,133,Now Is Born The Divine Christ Child,1.0
exact,118,Kala Gembala Menjaga,While Shepherds Watched Their Flocks,139,While Shepherds Watched Their Flocks,1.0
exact,121,Siapa Dia Nun Di Sana?,Who Is He In Yonder Stall?,150,Who Is He In Yonder Stall,1.0
exact,124,Yesus Berjalan Sendiri,Jesus Walked This Lonesome Valley,151,Jesus Walked This Lonesome Valley,1.0
exact,143,Tirai Tlah Dibuka-Nya,The Unveiled Christ,178,The Unveiled Christ,1.0
exact,149,Siapa Yang Dapat Menghibur,All That Thrills My Soul,189,All That Thrills My Soul,1.0
exact,185,Oh Ku Kasih Tuhan,"O, How I Love Jesus",248,O How I Love Jesus,1.0
exact,195,Sungguh Indah Roh Suci,"Sweet, Sweet Spirit",262,Sweet Sweet Spirit,1.0
exact,205,Apakah Engkau Susah,Turn Your Eyes Upon Jesus,290,Turn Your Eyes Upon Jesus,1.0
exact,221,Aku Datang Skarang Yesus,"Jesus, I Come",292,Jesus I Come,1.0
exact,232,Di Tempat Yang Lebih Tinggi,Higher Ground,625,Higher Ground,1.0
exact,239,Aku Mau Menjadi Milik-Mu,Wholly Thine,308,Wholly Thine,1.0
exact,242,Ku Mau Sperti Yesus,I Would Be Like Jesus,311,I Would Be Like Jesus,1.0
exact,245,Pimpin Ku Ke Salib,Lead Me To Calvary,317,Lead Me To Calvary,1.0
exact,268,Pada Saat Berdoa,'tis The Blessed Hour Of Prayer,501,Tis The Blessed Hour Of Prayer,1.0
exact,277,Betapa Snang Aku Kabarkan,Redeemed,337,Redeemed,1.0
exact,281,Bila Pandang Salib Yesus,When I Survey The Wondrous Cross,154,When I Survey The Wondrous Cross,1.0
exact,333,Critakanlah Padaku,Live Out Thy Life Within Me,316,Live Out Thy Life Within Me,1.0
exact,336,Yesus Sahabat Manusia,"Jesus, What A Friend For Sinners",187,Jesus What A Friend For Sinners,1.0
exact,357,Kasih Yang Bahagiakan,'tis Love That Makes Us Happy,579,Tis Love That Makes Us Happy,1.0
exact,368,Di Negri Yang Cemerlang,No Night There,427,No Night There,1.0
exact,373,Ya Di Sana,Over Yonder,431,Over Yonder,1.0
exact,376,"Suci, Suci, Malaikat Memuji","Holy, Holy, Is What The Angels Sing",425,Holy Holy Is What The Angels Sing,1.0
exact,380,Bersabdalah Ya Tuhan,"Blessed Jesus, At Thy Word",60,Blessed Jesus At Thy Word,1.0
exact,386,Tak kan Berpisah Lagi,Never Part Again,449,Never Part Again,1.0
exact,403,Sering Ku Dengar Lagu,A Song Of Heaven And Homeland,472,A Song Of Heaven And Homeland,1.0
exact,405,Ada Balsem Di Gilead,Balm In Gilead,475,Balm In Gilead,1.0
exact,406,Beban Terangkat Di Kalvari,Burdens Are Lifted At Calvary,476,Burdens Are Lifted At Calvary,1.0
exact,408,"Berdiam, Berdiam",Tread Softly,479,Tread Softly,1.0
exact,414,Kupercaya,I Do Believe,486,I Do Believe,1.0
exact,417,Bak Wanita Di Sumur,"Fill My Cup, Lord",493,Fill My Cup Lord,1.0
exact,419,Bapa Ajarlah Aku,Like Jesus,492,Like Jesus,1.0
exact,441,Setiap Saat Dalam Kasih-Nya,Moment By Moment,507,Moment By Moment,1.0
exact,442,Tak Ku Mengerti Rahmat-Nya,I Know Whom I Have Believed,511,I Know Whom I Have Believed,1.0
exact,445,Percaya Yang Menang,Faith Is The Victory,608,Faith Is The Victory,1.0
exact,446,Allah Utus Yesus Putra-Nya,Because He Lives,526,Because He Lives,1.0
exact,464,Jaminan Berkat Tuhan Janji,"Blessed Assurance, Jesus Is Mine",462,Blessed Assurance Jesus Is Mine,1.0
exact,479,"Hai Kristen, Jaga!",Stand Like The Brave,610,Stand Like The Brave,1.0
exact,490,Betapa Bahagianya Di Rumah Tangga,Love At Home,652,Love At Home,1.0
exact,496,Yesus Sahabat Terindah,What A Friend We Have In Jesus,499,What A Friend We Have In Jesus,1.0
strong,9,Hai Kristen Nyanyilah,"Come Christian, Join To Sing",10,Come Christians Join To Sing,0.982
strong,34,Semua Makhluk Puji Tuhan,Let All Things Living,560,Let All Things Now Living,0.913
strong,69,Ku Mendengar Suara Tuhan,I Heard The Voice Of Jesus Say,465,I Heard The Voice Of Jesus,0.929
strong,166,Kedatangan Tuhan Tlah Dekat,&#39;tis Almost Time For The Lord To Come,212,Tis Almost Time For The Lord To Come,0.911
strong,209,Yesus Sedang Berdiri,Oh Jesus Thou Art Standing,283,O Jesus Thou Art Standing,0.98
strong,243,"Tarik Aku, Ya Yesus",Nearer The Cross,312,Near The Cross,0.933
strong,256,Ku Lihat Darah Mengalir,The Cleansing Waves,332,The Cleansing Wave,0.973
strong,278,Di Tepian Sungai Yordan,On Jordan's Storm Banks,620,On Jordans Stormy Banks,0.957
strong,297,Ada Satu Pintu Gerbang,O Depth Of Mercy,521,Depth Of Mercy,0.933
strong,314,Dalam Sibuk Kehidupan,When Cross The Crowded Ways Of Life,355,Where Cross The Crowded Ways Of Life,0.958
strong,456,Kita Membangun Di Batu Karang,We'll Build On The Rock,531,Well Build On The Rock,0.978
strong,470,"Ke Manapun Ku Mau Pergi, Tuhan",I'll Go Where You Want Me To Go,573,Ill Go Where You Want Me To Go,0.984
medium,192,Ya Roh Suci Yang Benar,"Holy Spirit, Faithful Guide",589,Holy Spirit Gracious Guest,0.731
medium,219,Yesus Batu Zaman,Hide In Thee,525,Hiding In Thee,0.846
medium,290,Duduk Dekat Kaki Yesus,Sitting At The Feet Of Jesus,577,In The Heart Of Jesus,0.735
medium,296,Nama Yesus Amat Indah,Jesus Oh How Sweet The Name,238,How Sweet The Name,0.8
medium,298,Slamat Di Lengan Yesus,Save In The Arms Of Jesus,577,In The Heart Of Jesus,0.783
medium,299,Ku Lihat Yesus,I See Jesus,492,Like Jesus,0.762
medium,320,Rahmat Bapa Bercahaya,Let The Lower Lamps Be Burning,595,Let Every Lamp Be Burning,0.836
medium,335,Dalam Kerja Rajaku,In The Service The King,426,I Shall See The King,0.744
medium,356,"Tuhan, Kasihanilah Kami Ini","Lord, Be Merciful",297,God Be Merciful To Me,0.757
medium,359,Aku Perlu Yesus,I Need Jesus,492,Like Jesus,0.727
medium,378,Rumahku Indah Di Surga,I&#39;m Going Home,437,Im Going Home,0.788
medium,498,Pemuda Skalian,We Have Heard Thy Call,453,We Have Heard,0.743
medium,502,Karena Allah Kasih,For God So Loved The World,78,For God So Loved Us,0.756
none,14,Jika Kiranya Lidahku,O Could I Speak The Matchless,,,0.607
none,17,Tuhan Lindungilah Kami,"Lord, Keep Us Safe This Night",,,0.56
none,32,Sembah Sujudlah Umat-Nya,With Reverence Let The Saints,,,0.556
none,40,"Tuhan, Pimpinlah Aku","Saviour, Lead Me Lest I Stray",,,0.558
none,43,Slamat Malam,Good Night,,,0.667
