ls_number,ls_title,key_used,key_source,sda_num,sda_title,sda_first_line,score,matched_on,sda_already_used
320,Rahmat Bapa Bercahaya,Let The Lower Lamps Be Burning,hymnalaccompanist,595,Let Every Lamp Be Burning,"Let every lamp be burning bright,",0.836,title,yes
296,Nama Yesus Amat Indah,Jesus Oh How Sweet The Name,hymnalaccompanist,238,How Sweet the Name!,How sweet the name of Jesus sounds,0.8,title,no
298,Slamat Di Lengan Yesus,Safe In The Arms of Jesus,hymnalaccompanist,577,In the Heart of Jesus,In the heart of Jesus,0.783,title,yes
68,"Bapa, Kami Datang","Father, We Come To Thee",hymnalaccompanist,566,Father We Thank Thee,"Father, we thank You",0.762,title,no
299,Ku Lihat Yesus,I See Jesus,hymnalaccompanist,492,Like Jesus,"Teach, me, Father, what to say;",0.762,title,yes
356,"Tuhan, Kasihanilah Kami Ini","Lord, Be Merciful",lagusion,297,God Be Merciful to Me,"God, be merciful to me,",0.757,title,no
502,Karena Allah Kasih,For God so Loved the World,hymnalaccompanist,78,For God So Loved Us,"For God so loved us, He sent the Savior:",0.756,title,yes
335,Dalam Kerja Rajaku,In The Service The King,lagusion,426,I Shall See the King,I shall see the King,0.744,title,yes
498,Pemuda Skalian,We Have Heard Thy Call,hymnalaccompanist,453,We Have Heard,"We have heard from the bright, the holy, land;",0.743,title,no
290,Duduk Dekat Kaki Yesus,Sitting At The Feet Of Jesus,lagusion,577,In the Heart of Jesus,In the heart of Jesus,0.735,title,yes
192,Ya Roh Suci Yang Benar,"Holy Spirit, Faithful Guide",hymnalaccompanist,589,Holy Spirit Gracious Guest,"Holy Spirit, gracious guest,",0.731,title,no
315,Orang Asing Di Pintu,There's A Stranger At The Door,hymnalaccompanist,120,There's a Song in the Air,There's a song in the air!,0.727,title,yes
359,Aku Perlu Yesus,I Need Jesus,hymnalaccompanist,492,Like Jesus,"Teach, me, Father, what to say;",0.727,title,yes
