ls_number,ls_title,ls_english_title,ls_composer,ls_arranger,sda_num,sda_title,sda_composer,sda_arranger,shared_surname,title_score,sda_already_used
335,Dalam Kerja Rajaku,In The Service The King,A. H. Ackley,B. D. Ackley,426,I Shall See the King,W. C Poole,B. D. Ackley,ackley,0.744,yes
298,Slamat Di Lengan Yesus,Save In The Arms Of Jesus,Fanny J. Crosby,W. H. Doane,152,Tell Me the Story of Jesus,Fanny J. Crosby,John R. Sweney,crosby,0.667,yes
390,Angkat Nafiri,Lift Up The Trumpet,Jessie E. Strout,George E. Lee,213,Jesus Is Coming Again,Jessie E. Strout,George E. Lee,"lee,strout",0.644,yes
287,Satu Saja Ku Ingini,So Wash Me Thou Without Within,Walter C. Smith,Fred H. Byshe,574,"O Master, Let Me Walk With Thee",Washington Gladden,H. Percy Smith,smith,0.533,yes
359,Aku Perlu Yesus,I Need Jesus,George O. Webster,Charles H. Gabriel,512,Just When I Need Him Most,William Poole,Charles H. Gabriel,gabriel,0.522,yes
197,Aku Dengar Hujan Berkat,"Lord, I Hear Of Shower",Elizabeth Codner,William B. Bradbury,545,"Savior, Like a Shepherd",,William Bradbury,bradbury,0.512,yes
32,Sembah Sujudlah Umat-Nya,With Reverence Let The Saints,Isaac Watts,William B. Bradbury,388,Don't Forget the Sabbath,Fanny J. Crosby,William B. Bradbury,bradbury,0.491,yes
362,Aku Pikirkan Skarang,I Am Thinking To Day,E. E Hewitt,John R. Swenwy,470,There's Sunshine in My Soul Today,E. E. Hewitt,John R. Sweney,hewitt,0.491,yes
425,"Bersabdalah, Ya Yesus","Speak To My Soul, Dear Jesus",Frances Ridley Havergal,Samuel Wesley,490,"Jesus, Lover of My Soul",Charles Wesley,Simeon B. Marsh,wesley,0.49,yes
427,Ku Perlu Pada-Mu Tuhan,"Blessed Lord, How Much I Need",F. E. Belden,F. E. Belden,528,A Shelter in the Time of Storm,Vermon J. Charlesworth,F. E. Belden,belden,0.484,yes
67,Lama Tlah Dirindu,Is Your All On The Altar,E. A. H,Elisha A. Hoffman,485,I Must Tell Jesus,Elisha A. Hoffman,Elisha A. Hoffman,hoffman,0.483,yes
174,Kristus Tlah Ada Di Pintu,The Coming King Is At The Door,F. E. Belden,F. E. Belden,604,We Know Not the Hour,F. E. Belden,F. E. Belden,belden,0.48,yes
68,"Bapa, Kami Datang","Father, We Come To Thee",F. E. Belden,W. J. Bostwick,604,We Know Not the Hour,F. E. Belden,F. E. Belden,belden,0.476,yes
